servertype_id,ip_addr_type
bond_interface,null
monitoring_queue,null
datacenter,null
rack,null
monitoring_zone,null
acl,null
external_domain,null
everything,network
health_check,null
external_network,network
datacenter_type,null
vlan_interface,host
ipmi,host
blade_enclosure,host
voip_phone,host
vm_external,host
project_network,network
loadbalancer,loadbalancer
hw_loadbalancer_group,null
hardware,host
hardware_external,host
switch,host
project,null
lb_pool,null
router,host
doorlock,host
vm,host
provider,null
provider_network,network
monitoring_group,null
memory_module,null
floating_address,host
storage_module,null
hw_loadbalancer,host
hw_internalrouter,host
hypervisor,host
nat_gateway,host
vpn,host
tunnel_interface,host
project_domain,null
route_network,network
accesspoint,host
hdmi_transmitter,host
media_device,host
natbox,host
printer,host
room_tablet,host
azure_network,simple_network
cloud_network,simple_network
service_group,null
provider_domain,null
public_domain,null
